Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
180149,Columbia,KY,42728,ADAIR,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20
190002,Lafayette,LA,70503,LAFAYETTE,10 out of 10,9 out of 9,10 out of 10,8 out of 10,3 out of 9,8 out of 10,7 out of 10,3 out of 9,7 out of 10,9 out of 10,0 out of 9,9 out of 10,9 out of 10,8 out of 9,9 out of 10,8 out of 10,4 out of 9,8 out of 10,6 out of 10,6 out of 9,6 out of 10,8 out of 10,2 out of 9,8 out of 10,65,20
190003,New Iberia,LA,70563,IBERIA,1 out of 10,2 out of 9,2 out of 10,7 out of 10,3 out of 9,7 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,23,19
190004,Thibodaux,LA,70302,LAFOURCHE,10 out of 10,9 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,6 out of 10,2 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,7 out of 10,1 out of 9,7 out of 10,9 out of 10,6 out of 9,9 out of 10,6 out of 10,3 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,59,20
190005,New Orleans,LA,70112,ORLEANS,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,11
190006,Lafayette,LA,70506,LAFAYETTE,8 out of 10,6 out of 9,8 out of 10,6 out of 10,4 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,1 out of 9,4 out of 10,32,14
190007,Natchitoches,LA,71457,NATCHITOCHES,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,21,16
190008,Houma,LA,70360,TERREBONNE,8 out of 10,7 out of 9,8 out of 10,5 out of 10,2 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,36,20
190011,Monroe,LA,71202,OUACHITA,1 out of 10,2 out of 9,2 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,4 out of 9,4 out of 10,6 out of 10,3 out of 9,6 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,24,16
190013,Sulphur,LA,70663,CALCASIEU,7 out of 10,0 out of 9,7 out of 10,5 out of 10,1 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,8 out of 10,4 out of 9,8 out of 10,9 out of 10,8 out of 9,9 out of 10,5 out of 10,2 out of 9,5 out of 10,6 out of 10,7 out of 9,7 out of 10,5 out of 10,1 out of 9,5 out of 10,51,20
190014,Morgan City,LA,70380,ST. MARY,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7,16
190015,Hammond,LA,70403,TANGIPAHOA,8 out of 10,7 out of 9,8 out of 10,4 out of 10,2 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,5 out of 10,3 out of 9,5 out of 10,9 out of 10,9 out of 9,9 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,5 out of 9,5 out of 10,47,20
190017,Opelousas,LA,70570,ST. LANDRY,1 out of 10,2 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,13,18
190019,Alexandria,LA,71301,RAPIDES,2 out of 10,1 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,9,17
190020,Zachary,LA,70791,EAST BATON ROUGE,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,16,17
190025,Mamou,LA,70554,EVANGELINE,7 out of 10,6 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,6 out of 10,5 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,6 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,62,20
190026,Alexandria,LA,71301,RAPIDES,1 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,13,16
190027,Lake Charles,LA,70601,CALCASIEU,2 out of 10,2 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,8,18
190034,Abbeville,LA,70510,VERMILION,9 out of 10,9 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,0 out of 9,7 out of 10,9 out of 10,9 out of 9,9 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,44,19
190036,New Orleans,LA,70121,JEFFERSON,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,2,15
190039,Marrero,LA,70072,JEFFERSON,5 out of 10,0 out of 9,5 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,8 out of 10,8 out of 9,8 out of 10,5 out of 10,3 out of 9,5 out of 10,38,20
190040,Slidell,LA,70458,ST. TAMMANY,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,12,18
190041,Shreveport,LA,71105,CADDO,4 out of 10,3 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,6 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,30,20
190044,Crowley,LA,70526,ACADIA,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,9,12
190045,Covington,LA,70433,ST. TAMMANY,7 out of 10,4 out of 9,7 out of 10,6 out of 10,2 out of 9,6 out of 10,4 out of 10,2 out of 9,4 out of 10,6 out of 10,2 out of 9,6 out of 10,5 out of 10,3 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,7 out of 10,3 out of 9,7 out of 10,8 out of 10,6 out of 9,8 out of 10,47,20
190046,New Orleans,LA,70115,ORLEANS,0 out of 10,0 out of 9,0 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,3 out of 9,5 out of 10,2 out of 10,1 out of 9,2 out of 10,15,18
190050,Deridder,LA,70634,BEAUREGARD,6 out of 10,3 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,2 out of 9,4 out of 10,9 out of 10,8 out of 9,9 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,1 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,5 out of 9,5 out of 10,55,20
190053,Jennings,LA,70546,JEFFERSON DAVIS,6 out of 10,0 out of 9,6 out of 10,9 out of 10,1 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,7 out of 10,2 out of 9,7 out of 10,6 out of 10,1 out of 9,6 out of 10,8 out of 10,0 out of 9,8 out of 10,7 out of 10,8 out of 9,8 out of 10,4 out of 10,3 out of 9,4 out of 10,54,20
190054,New Iberia,LA,70560,IBERIA,7 out of 10,2 out of 9,7 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,2 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,31,19
190060,Lake Charles,LA,70601,CALCASIEU,6 out of 10,6 out of 9,6 out of 10,7 out of 10,5 out of 9,7 out of 10,2 out of 10,3 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,5 out of 10,4 out of 9,5 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,4 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,38,19
190064,Baton Rouge,LA,70808,EAST BATON ROUGE,6 out of 10,0 out of 9,6 out of 10,8 out of 10,7 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,36,19
190065,Baton Rouge,LA,70806,EAST BATON ROUGE,5 out of 10,0 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,4 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,31,20
190079,Luling,LA,70070,ST. CHARLES,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,5 out of 9,8 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,20,16
190081,Oak Grove,LA,71263,WEST CARROLL,8 out of 10,0 out of 9,8 out of 10,10 out of 10,0 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,5 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,51,20
190086,Ruston,LA,71270,LINCOLN,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,3 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,2 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,17,15
190088,Springhill,LA,71075,WEBSTER,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,9 out of 10,9 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,7 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,67,20
190090,Winnfield,LA,71483,WINN,10 out of 10,9 out of 9,10 out of 10,4 out of 10,5 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,5 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,6 out of 9,7 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,4 out of 9,4 out of 10,46,19
190098,Shreveport,LA,71130,CADDO,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,11,12
190099,Marksville,LA,71351,AVOYELLES,4 out of 10,4 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,4 out of 9,4 out of 10,7 out of 10,7 out of 9,7 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,29,17
190102,Lafayette,LA,70508,LAFAYETTE,8 out of 10,8 out of 9,8 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,2 out of 9,2 out of 10,8 out of 10,7 out of 9,8 out of 10,4 out of 10,3 out of 9,4 out of 10,9 out of 10,9 out of 9,9 out of 10,4 out of 10,6 out of 9,6 out of 10,8 out of 10,7 out of 9,8 out of 10,51,20
190106,Oakdale,LA,71463,ALLEN,0 out of 10,1 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,4 out of 9,4 out of 10,7 out of 10,7 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,26,11
190111,Shreveport,LA,71103,CADDO,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,29,20
190114,Homer,LA,71040,CLAIBORNE,3 out of 10,4 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,6 out of 9,6 out of 10,2 out of 10,4 out of 9,4 out of 10,5 out of 10,6 out of 9,6 out of 10,3 out of 10,5 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,4 out of 10,6 out of 9,6 out of 10,47,20
190116,Bastrop,LA,71220,MOREHOUSE,3 out of 10,4 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,4 out of 9,7 out of 10,0 out of 10,6 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,33,18
190118,Mansfield,LA,71052,DE SOTO,6 out of 10,0 out of 9,6 out of 10,9 out of 10,0 out of 9,9 out of 10,8 out of 10,5 out of 9,8 out of 10,7 out of 10,0 out of 9,7 out of 10,8 out of 10,0 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,4 out of 10,5 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,53,20
190125,Monroe,LA,71201,OUACHITA,7 out of 10,4 out of 9,7 out of 10,6 out of 10,3 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,8 out of 10,7 out of 9,8 out of 10,5 out of 10,3 out of 9,5 out of 10,0 out of 10,3 out of 9,3 out of 10,5 out of 10,3 out of 9,5 out of 10,41,17
190128,Baton Rouge,LA,70817,EAST BATON ROUGE,3 out of 10,0 out of 9,3 out of 10,5 out of 10,1 out of 9,5 out of 10,3 out of 10,1 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,2 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,6 out of 9,8 out of 10,43,20
190140,Winnsboro,LA,712951300,FRANKLIN,8 out of 10,7 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,2 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,7 out of 9,7 out of 10,3 out of 10,2 out of 9,3 out of 10,51,20
190144,Minden,LA,71055,WEBSTER,4 out of 10,0 out of 9,4 out of 10,7 out of 10,0 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,0 out of 9,6 out of 10,35,20
190146,Metairie,LA,70011,JEFFERSON,5 out of 10,6 out of 9,6 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,2 out of 10,3 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,28,16
190151,Rayville,LA,71269,RICHLAND,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,0 out of 10,4 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,68,15
190160,West Monroe,LA,712915805,OUACHITA,2 out of 10,1 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,3 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,15,15
190164,Leesville,LA,71446,VERNON,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,19,17
190167,Ville Platte,LA,70586,EVANGELINE,1 out of 10,0 out of 9,1 out of 10,8 out of 10,0 out of 9,8 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,22,19
190175,Laplace,LA,70068,ST. JOHN THE BAPTIST,6 out of 10,4 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,31,18
190176,New Orleans,LA,70112,ORLEANS,1 out of 10,0 out of 9,1 out of 10,4 out of 10,1 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,12,18
190177,Covington,LA,70433,ST. TAMMANY,0 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,16,19
190183,Houma,LA,70363,TERREBONNE,7 out of 10,2 out of 9,7 out of 10,8 out of 10,4 out of 9,8 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,5 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,1 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,42,16
190184,Columbia,LA,71418,CALDWELL,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,75,20
190190,Columbia,LA,71418,CALDWELL,9 out of 10,7 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,3 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,4 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,9 out of 10,1 out of 9,9 out of 10,54,17
190201,Lake Charles,LA,70605,CALCASIEU,8 out of 10,4 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,7 out of 10,4 out of 9,7 out of 10,9 out of 10,6 out of 9,9 out of 10,8 out of 10,4 out of 9,8 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,2 out of 9,6 out of 10,7 out of 10,1 out of 9,7 out of 10,55,20
190202,Baton Rouge,LA,70816,EAST BATON ROUGE,6 out of 10,5 out of 9,6 out of 10,3 out of 10,2 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,6 out of 9,7 out of 10,4 out of 10,2 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,31,20
190205,Lafayette,LA,70506,LAFAYETTE,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,18,19
190218,Many,LA,71449,SABINE,2 out of 10,1 out of 9,2 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,5 out of 9,5 out of 10,1 out of 10,3 out of 9,3 out of 10,28,15
190236,Bossier City,LA,71111,BOSSIER,6 out of 10,0 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,1 out of 9,5 out of 10,41,20
190241,Houma,LA,70360,TERREBONNE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20
190242,Gonzales,LA,70737,ASCENSION,8 out of 10,0 out of 9,8 out of 10,8 out of 10,0 out of 9,8 out of 10,6 out of 10,0 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,6 out of 10,7 out of 9,7 out of 10,6 out of 10,0 out of 9,6 out of 10,60,20
190246,Monroe,LA,71201,OUACHITA,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,0 out of 9,3 out of 10,10 out of 10,0 out of 9,10 out of 10,73,20
190250,Lacombe,LA,704453456,ST. TAMMANY,8 out of 10,5 out of 9,8 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,3 out of 9,6 out of 10,7 out of 10,5 out of 9,7 out of 10,7 out of 10,7 out of 9,7 out of 10,6 out of 10,2 out of 9,6 out of 10,4 out of 10,3 out of 9,4 out of 10,9 out of 10,0 out of 9,9 out of 10,50,20
